,City,Rank,Company,Industry,Funding,Employees,Employee_Growth,Current_Jobs,Job_Links,job_url
19,Atlanta,77,Ventiv Technolo...,Tech Services,,333,7%,1,http://www.linkedin.com/company/ventiv-tech/jobs,https://www.linkedin.com/jobs/view/2802933416/?refId=Z9Z4H0iQsyPGmKJyifOo2A%3D%3D&trackingId=qyLPd272U3uBpq%2BrVF45mQ%3D%3D&trk=d_flagship3_company
20,Atlanta,77,Ventiv Technolo...,Tech Services,,333,7%,1,http://www.linkedin.com/company/ventiv-tech/jobs,https://www.linkedin.com/jobs/view/2814579855/?refId=Z9Z4H0iQsyPGmKJyifOo2A%3D%3D&trackingId=%2Be9fr3BnWPfpuLl%2BpLjPqg%3D%3D&trk=d_flagship3_company
21,Atlanta,77,Ventiv Technolo...,Tech Services,,333,7%,1,http://www.linkedin.com/company/ventiv-tech/jobs,https://www.linkedin.com/jobs/view/2793187565/?refId=Z9Z4H0iQsyPGmKJyifOo2A%3D%3D&trackingId=Fhh3tlnxVOdUKV0guyyFmA%3D%3D&trk=d_flagship3_company
22,Atlanta,77,Ventiv Technolo...,Tech Services,,333,7%,1,http://www.linkedin.com/company/ventiv-tech/jobs,https://www.linkedin.com/jobs/view/2802958862/?refId=Z9Z4H0iQsyPGmKJyifOo2A%3D%3D&trackingId=CBWclSskt%2FKzzo1hUsRglQ%3D%3D&trk=d_flagship3_company
23,Atlanta,78,RoadSync,Payments/Transfer,$8.3M,84,87%,1,http://www.linkedin.com/company/roadsync/jobs,https://www.linkedin.com/jobs/view/2805540036/?refId=5jjFhUb0vjnbkV2AM44vuA%3D%3D&trackingId=9V54Use7RmACubTiR534AQ%3D%3D&trk=d_flagship3_company
24,Atlanta,78,RoadSync,Payments/Transfer,$8.3M,84,87%,1,http://www.linkedin.com/company/roadsync/jobs,https://www.linkedin.com/jobs/view/2813869389/?refId=5jjFhUb0vjnbkV2AM44vuA%3D%3D&trackingId=uzeheST2%2BdRTTpikxmyXNw%3D%3D&trk=d_flagship3_company
25,Atlanta,78,RoadSync,Payments/Transfer,$8.3M,84,87%,1,http://www.linkedin.com/company/roadsync/jobs,https://www.linkedin.com/jobs/view/2786493732/?refId=5jjFhUb0vjnbkV2AM44vuA%3D%3D&trackingId=yMWtXdqLHfh92tA%2B4v%2FTwg%3D%3D&trk=d_flagship3_company
26,Atlanta,78,RoadSync,Payments/Transfer,$8.3M,84,87%,1,http://www.linkedin.com/company/roadsync/jobs,https://www.linkedin.com/jobs/view/2791306144/?refId=5jjFhUb0vjnbkV2AM44vuA%3D%3D&trackingId=NQHUgcOVbk%2BxO5e54BkJ5Q%3D%3D&trk=d_flagship3_company
27,Atlanta,78,RoadSync,Payments/Transfer,$8.3M,84,87%,1,http://www.linkedin.com/company/roadsync/jobs,https://www.linkedin.com/jobs/view/2787737341/?refId=5jjFhUb0vjnbkV2AM44vuA%3D%3D&trackingId=%2FGzT%2B6jiOMZrO6uPhOmvgQ%3D%3D&trk=d_flagship3_company
28,Atlanta,78,RoadSync,Payments/Transfer,$8.3M,84,87%,1,http://www.linkedin.com/company/roadsync/jobs,https://www.linkedin.com/jobs/view/2787710764/?refId=5jjFhUb0vjnbkV2AM44vuA%3D%3D&trackingId=IECWbn7vu20Yz%2B7S09NNIA%3D%3D&trk=d_flagship3_company
29,Atlanta,78,RoadSync,Payments/Transfer,$8.3M,84,87%,1,http://www.linkedin.com/company/roadsync/jobs,https://www.linkedin.com/jobs/view/2787738473/?refId=5jjFhUb0vjnbkV2AM44vuA%3D%3D&trackingId=pkrVJ86sPT36PfVTPyBlVQ%3D%3D&trk=d_flagship3_company
