,Unnamed: 0,Product_URL,Title,Price,Description,Quantity,Part_num
42,42,https://www.com1.com.au/hp-600-prodesk-g3-sff-i7-7700-8gb-256gb-ssd-dvdrw-w10p64-3-3-3yr-1mf41pa.html,,,,,
43,43,https://www.com1.com.au/msi-pro-dp21-11ma-202au-i5-11400-16gb-512gb-ssd-wifi-6-kbm-win11-pro-3yrs-on-site.html,,,,,
44,44,https://www.com1.com.au/orion-core-i7-11700-25ghz-16gb-ddr4-512gb-ssd-windows-10-pro.html,,,,,
45,45,https://www.com1.com.au/orion-core-i7-11700-25ghz-16gb-ddr4-2tb512gb-ssd-windows-10-home.html,,,,,
46,46,https://www.com1.com.au/msi-pro-dp21-11ma-203au-i7-11700-8gb-256gb-ssd-wifi-6-kbm-win11-pro-3yrs-on-site.html,,,,,
47,47,https://www.com1.com.au/msi-pro-dp130-11m-034au-i5-11400-16gb-512gb-ssd-wifi-6-kbm-win11-pro-3yrs-on-site.html,,,,,
48,48,https://www.com1.com.au/mpg-trident-3-10sa-289au-i5-10400f-8g-512gb-ssd-gtx1650-super-gk30gm11-w10-3yrs.html,,,,,
49,49,https://www.com1.com.au/hp-800-g3-sff-i7-7700-8gb-256gb-ssd-dvdrw-w10p64-3-3-3yr-1me81pa.html,,,,,
50,50,https://www.com1.com.au/msi-pro-dp130-11m-033au-i7-11700-8gb-256gb-ssd-wifi-6-kbm-win11-pro-3yrs-on-site.html,,,,,
51,51,https://www.com1.com.au/msi-pro-dp21-11ma-204au-i7-11700-16gb-512gb-ssd-wifi-6-kbm-win11-pro-3yrs-on-site.html,,,,,
52,52,https://www.com1.com.au/mpg-trident-3-10sa-289au-i5-10400f-8g-512gb-ssd-gtx1660-super-gk30gm11-w10-3yrs.html,,,,,
53,53,https://www.com1.com.au/msi-vortex-w25-8sl-089au-i7-8700-16gb-1tb256ssd-8g-p4200-w10-pro.html,,,,,
54,54,https://www.com1.com.au/mpg-trident-3-10si-256au-i5-10400f-16g-1tb-hdd-512gb-ssd-gtx1660-super-gk30gm11-w10-3yrs-refurbished.html,,,,,
55,55,https://www.com1.com.au/msi-pro-dp130-11m-032au-i7-11700-16gb-512gb-ssd-wifi-6-kbm-win11-pro-3yrs-on-site.html,,,,,
56,56,https://www.com1.com.au/mpg-trident-3-11tc-043au-i5-11400f-16g-1tb-512gb-ssd-rtx3060-gk30gm11-w11-3yrs.html,,,,,
57,57,https://www.com1.com.au/mpg-trident-3-arctic-11tc-045au-i5-11400f-16g-1tb-ssd-rtx3060-gk30gm11-w11-3yrs.html,,,,,
58,58,https://www.com1.com.au/mpg-trident-3-11tc-039au-i7-11700f-16g-2tb512gb-ssd-rtx3060-gk30gm11-w11-3yrs.html,,,,,
59,59,https://www.com1.com.au/mpg-trident-3-arctic-11tc-047au-i7-11700f-16g-1tb-ssd-rtx3060-gk30gm11-w11-3yrs.html,,,,,
60,60,https://www.com1.com.au/creator-p100a-11tg-683au-i7-11700-32gb-1tb-ssd-rtx-3060-w11-pro-kbmouse-3yrs-white.html,,,,,
